"participant","item","register","attractor","verb","yes"
3,301,"formal","pl","pl",0
3,365,"formal","pl","pl",1
3,429,"formal","pl","pl",1
3,493,"formal","pl","pl",0
3,182,"formal","pl","sg",1
3,246,"formal","pl","sg",1
3,310,"formal","pl","sg",1
3,374,"formal","pl","sg",1
3,438,"formal","pl","sg",0
3,191,"formal","sg","pl",0
3,255,"formal","sg","pl",1
3,319,"formal","sg","pl",0
3,383,"formal","sg","pl",0
3,447,"formal","sg","pl",0
3,200,"formal","sg","sg",1
3,264,"formal","sg","sg",1
3,328,"formal","sg","sg",0
3,392,"formal","sg","sg",1
3,456,"formal","sg","sg",1
3,209,"informal","pl","pl",1
3,273,"informal","pl","pl",0
3,337,"informal","pl","pl",1
3,401,"informal","pl","pl",0
3,465,"informal","pl","pl",0
3,218,"informal","pl","sg",1
3,282,"informal","pl","sg",1
3,346,"informal","pl","sg",1
3,410,"informal","pl","sg",1
3,474,"informal","pl","sg",1
3,227,"informal","sg","pl",0
3,291,"informal","sg","pl",1
3,355,"informal","sg","pl",0
3,419,"informal","sg","pl",0
3,483,"informal","sg","pl",0
3,236,"informal","sg","sg",1
3,300,"informal","sg","sg",1
3,364,"informal","sg","sg",1
3,428,"informal","sg","sg",1
3,492,"informal","sg","sg",0
4,237,"formal","pl","pl",0
4,301,"formal","pl","pl",1
4,365,"formal","pl","pl",0
4,429,"formal","pl","pl",0
4,493,"formal","pl","pl",1
4,182,"formal","pl","sg",1
4,246,"formal","pl","sg",1
4,310,"formal","pl","sg",1
4,374,"formal","pl","sg",0
4,438,"formal","pl","sg",1
4,191,"formal","sg","pl",0
4,255,"formal","sg","pl",0
4,319,"formal","sg","pl",0
4,383,"formal","sg","pl",0
4,447,"formal","sg","pl",0
4,200,"formal","sg","sg",1
4,264,"formal","sg","sg",1
4,328,"formal","sg","sg",1
4,392,"formal","sg","sg",1
4,456,"formal","sg","sg",1
4,209,"informal","pl","pl",0
4,273,"informal","pl","pl",1
4,337,"informal","pl","pl",0
4,401,"informal","pl","pl",0
4,465,"informal","pl","pl",1
4,218,"informal","pl","sg",1
4,282,"informal","pl","sg",1
4,346,"informal","pl","sg",1
4,410,"informal","pl","sg",1
4,474,"informal","pl","sg",1
4,227,"informal","sg","pl",0
4,291,"informal","sg","pl",0
4,355,"informal","sg","pl",0
4,419,"informal","sg","pl",0
4,483,"informal","sg","pl",0
4,236,"informal","sg","sg",1
4,300,"informal","sg","sg",1
4,364,"informal","sg","sg",1
4,428,"informal","sg","sg",1
5,237,"formal","pl","pl",1
5,301,"formal","pl","pl",0
5,365,"formal","pl","pl",1
5,429,"formal","pl","pl",0
5,493,"formal","pl","pl",1
5,182,"formal","pl","sg",1
5,310,"formal","pl","sg",1
5,374,"formal","pl","sg",1
5,438,"formal","pl","sg",1
5,191,"formal","sg","pl",1
5,255,"formal","sg","pl",1
5,319,"formal","sg","pl",0
5,383,"formal","sg","pl",1
5,447,"formal","sg","pl",1
5,200,"formal","sg","sg",1
5,264,"formal","sg","sg",1
5,328,"formal","sg","sg",1
5,392,"formal","sg","sg",0
5,456,"formal","sg","sg",1
5,209,"informal","pl","pl",0
5,273,"informal","pl","pl",0
5,337,"informal","pl","pl",0
5,401,"informal","pl","pl",1
5,465,"informal","pl","pl",0
5,218,"informal","pl","sg",1
5,282,"informal","pl","sg",1
5,346,"informal","pl","sg",1
5,410,"informal","pl","sg",1
5,474,"informal","pl","sg",1
5,227,"informal","sg","pl",0
5,291,"informal","sg","pl",0
5,355,"informal","sg","pl",0
5,419,"informal","sg","pl",1
5,483,"informal","sg","pl",1
5,236,"informal","sg","sg",1
5,300,"informal","sg","sg",1
5,364,"informal","sg","sg",0
5,428,"informal","sg","sg",1
5,492,"informal","sg","sg",1
6,237,"formal","pl","pl",0
6,301,"formal","pl","pl",0
6,365,"formal","pl","pl",0
6,429,"formal","pl","pl",1
6,493,"formal","pl","pl",0
6,182,"formal","pl","sg",1
6,246,"formal","pl","sg",0
6,310,"formal","pl","sg",1
6,374,"formal","pl","sg",0
6,438,"formal","pl","sg",1
6,191,"formal","sg","pl",0
6,255,"formal","sg","pl",0
6,319,"formal","sg","pl",0
6,383,"formal","sg","pl",1
6,447,"formal","sg","pl",0
6,200,"formal","sg","sg",1
6,264,"formal","sg","sg",1
6,328,"formal","sg","sg",1
6,392,"formal","sg","sg",1
6,456,"formal","sg","sg",1
6,209,"informal","pl","pl",1
6,273,"informal","pl","pl",1
6,337,"informal","pl","pl",1
6,401,"informal","pl","pl",0
6,465,"informal","pl","pl",0
6,218,"informal","pl","sg",1
6,282,"informal","pl","sg",1
6,346,"informal","pl","sg",1
6,410,"informal","pl","sg",1
6,474,"informal","pl","sg",0
6,227,"informal","sg","pl",0
6,291,"informal","sg","pl",0
6,355,"informal","sg","pl",0
6,419,"informal","sg","pl",0
6,483,"informal","sg","pl",0
6,236,"informal","sg","sg",1
6,300,"informal","sg","sg",0
6,364,"informal","sg","sg",1
6,428,"informal","sg","sg",1
6,492,"informal","sg","sg",0
7,237,"formal","pl","pl",0
7,301,"formal","pl","pl",0
7,365,"formal","pl","pl",0
7,429,"formal","pl","pl",1
7,493,"formal","pl","pl",1
7,182,"formal","pl","sg",1
7,246,"formal","pl","sg",1
7,310,"formal","pl","sg",1
7,374,"formal","pl","sg",1
7,438,"formal","pl","sg",1
7,191,"formal","sg","pl",0
7,255,"formal","sg","pl",0
7,319,"formal","sg","pl",0
7,383,"formal","sg","pl",1
7,447,"formal","sg","pl",0
7,200,"formal","sg","sg",1
7,264,"formal","sg","sg",1
7,328,"formal","sg","sg",0
7,392,"formal","sg","sg",1
7,456,"formal","sg","sg",1
7,209,"informal","pl","pl",0
7,273,"informal","pl","pl",0
7,337,"informal","pl","pl",0
7,401,"informal","pl","pl",0
7,465,"informal","pl","pl",0
7,218,"informal","pl","sg",1
7,282,"informal","pl","sg",1
7,346,"informal","pl","sg",1
7,410,"informal","pl","sg",1
7,474,"informal","pl","sg",1
7,227,"informal","sg","pl",0
7,291,"informal","sg","pl",0
7,355,"informal","sg","pl",0
7,419,"informal","sg","pl",0
7,483,"informal","sg","pl",0
7,236,"informal","sg","sg",1
7,300,"informal","sg","sg",1
7,364,"informal","sg","sg",1
7,428,"informal","sg","sg",1
7,492,"informal","sg","sg",1
8,237,"formal","pl","pl",1
8,301,"formal","pl","pl",0
8,365,"formal","pl","pl",1
8,429,"formal","pl","pl",1
8,493,"formal","pl","pl",1
8,182,"formal","pl","sg",1
8,246,"formal","pl","sg",1
8,310,"formal","pl","sg",1
8,374,"formal","pl","sg",1
8,438,"formal","pl","sg",1
8,191,"formal","sg","pl",0
8,255,"formal","sg","pl",1
8,319,"formal","sg","pl",1
8,383,"formal","sg","pl",1
8,447,"formal","sg","pl",0
8,200,"formal","sg","sg",1
8,264,"formal","sg","sg",1
8,328,"formal","sg","sg",1
8,392,"formal","sg","sg",1
8,456,"formal","sg","sg",1
8,209,"informal","pl","pl",1
8,273,"informal","pl","pl",1
8,337,"informal","pl","pl",0
8,401,"informal","pl","pl",1
8,465,"informal","pl","pl",1
8,218,"informal","pl","sg",1
8,282,"informal","pl","sg",1
8,346,"informal","pl","sg",1
8,410,"informal","pl","sg",1
8,474,"informal","pl","sg",1
8,227,"informal","sg","pl",0
8,291,"informal","sg","pl",0
8,355,"informal","sg","pl",1
8,483,"informal","sg","pl",1
8,236,"informal","sg","sg",1
8,300,"informal","sg","sg",1
8,364,"informal","sg","sg",1
8,428,"informal","sg","sg",1
8,492,"informal","sg","sg",1
9,237,"formal","pl","pl",0
9,301,"formal","pl","pl",1
9,365,"formal","pl","pl",1
9,429,"formal","pl","pl",1
9,493,"formal","pl","pl",1
9,182,"formal","pl","sg",1
9,246,"formal","pl","sg",1
9,310,"formal","pl","sg",1
9,374,"formal","pl","sg",0
9,438,"formal","pl","sg",1
9,191,"formal","sg","pl",0
9,255,"formal","sg","pl",1
9,319,"formal","sg","pl",0
9,383,"formal","sg","pl",1
9,447,"formal","sg","pl",1
9,200,"formal","sg","sg",1
9,264,"formal","sg","sg",1
9,328,"formal","sg","sg",1
9,392,"formal","sg","sg",1
9,456,"formal","sg","sg",1
9,209,"informal","pl","pl",0
9,273,"informal","pl","pl",1
9,337,"informal","pl","pl",0
9,401,"informal","pl","pl",1
9,465,"informal","pl","pl",1
9,218,"informal","pl","sg",1
9,282,"informal","pl","sg",1
9,346,"informal","pl","sg",1
9,410,"informal","pl","sg",0
9,474,"informal","pl","sg",1
9,227,"informal","sg","pl",0
9,291,"informal","sg","pl",1
9,355,"informal","sg","pl",1
9,419,"informal","sg","pl",0
9,483,"informal","sg","pl",0
9,236,"informal","sg","sg",1
9,300,"informal","sg","sg",1
9,364,"informal","sg","sg",1
9,428,"informal","sg","sg",1
9,492,"informal","sg","sg",1
10,237,"formal","pl","pl",1
10,301,"formal","pl","pl",1
10,365,"formal","pl","pl",1
10,429,"formal","pl","pl",1
10,493,"formal","pl","pl",1
10,182,"formal","pl","sg",1
10,246,"formal","pl","sg",1
10,310,"formal","pl","sg",1
10,374,"formal","pl","sg",1
10,438,"formal","pl","sg",1
10,191,"formal","sg","pl",0
10,255,"formal","sg","pl",1
10,319,"formal","sg","pl",0
10,383,"formal","sg","pl",1
10,447,"formal","sg","pl",1
10,200,"formal","sg","sg",1
10,264,"formal","sg","sg",1
10,328,"formal","sg","sg",1
10,392,"formal","sg","sg",1
10,456,"formal","sg","sg",1
10,209,"informal","pl","pl",0
10,273,"informal","pl","pl",0
10,337,"informal","pl","pl",0
10,401,"informal","pl","pl",0
10,465,"informal","pl","pl",0
10,218,"informal","pl","sg",1
10,282,"informal","pl","sg",0
10,346,"informal","pl","sg",1
10,410,"informal","pl","sg",1
10,474,"informal","pl","sg",1
10,227,"informal","sg","pl",0
10,291,"informal","sg","pl",0
10,355,"informal","sg","pl",0
10,419,"informal","sg","pl",0
10,483,"informal","sg","pl",0
10,236,"informal","sg","sg",1
10,300,"informal","sg","sg",1
10,364,"informal","sg","sg",1
10,428,"informal","sg","sg",1
10,492,"informal","sg","sg",1
11,237,"formal","pl","pl",1
11,301,"formal","pl","pl",1
11,365,"formal","pl","pl",0
11,429,"formal","pl","pl",0
11,493,"formal","pl","pl",1
11,182,"formal","pl","sg",1
11,246,"formal","pl","sg",1
11,310,"formal","pl","sg",1
11,374,"formal","pl","sg",0
11,438,"formal","pl","sg",0
11,191,"formal","sg","pl",0
11,255,"formal","sg","pl",1
11,319,"formal","sg","pl",0
11,383,"formal","sg","pl",0
11,447,"formal","sg","pl",1
11,200,"formal","sg","sg",1
11,264,"formal","sg","sg",1
11,328,"formal","sg","sg",1
11,392,"formal","sg","sg",1
11,456,"formal","sg","sg",1
11,209,"informal","pl","pl",1
11,273,"informal","pl","pl",1
11,337,"informal","pl","pl",0
11,401,"informal","pl","pl",0
11,465,"informal","pl","pl",1
11,218,"informal","pl","sg",1
11,282,"informal","pl","sg",1
11,346,"informal","pl","sg",1
11,410,"informal","pl","sg",1
11,474,"informal","pl","sg",1
11,227,"informal","sg","pl",1
11,291,"informal","sg","pl",1
11,355,"informal","sg","pl",1
11,419,"informal","sg","pl",0
11,483,"informal","sg","pl",0
11,236,"informal","sg","sg",1
11,300,"informal","sg","sg",1
11,364,"informal","sg","sg",1
11,428,"informal","sg","sg",1
11,492,"informal","sg","sg",1
12,237,"formal","pl","pl",1
12,301,"formal","pl","pl",0
12,365,"formal","pl","pl",0
12,429,"formal","pl","pl",0
12,493,"formal","pl","pl",0
12,182,"formal","pl","sg",1
12,246,"formal","pl","sg",1
12,310,"formal","pl","sg",1
12,374,"formal","pl","sg",1
12,438,"formal","pl","sg",1
12,191,"formal","sg","pl",0
12,255,"formal","sg","pl",0
12,319,"formal","sg","pl",0
12,383,"formal","sg","pl",0
12,447,"formal","sg","pl",0
12,200,"formal","sg","sg",1
12,264,"formal","sg","sg",1
12,328,"formal","sg","sg",0
12,392,"formal","sg","sg",1
12,456,"formal","sg","sg",1
12,209,"informal","pl","pl",0
12,273,"informal","pl","pl",0
12,337,"informal","pl","pl",1
12,401,"informal","pl","pl",1
12,465,"informal","pl","pl",0
12,218,"informal","pl","sg",1
12,282,"informal","pl","sg",1
12,346,"informal","pl","sg",1
12,410,"informal","pl","sg",1
12,474,"informal","pl","sg",1
12,227,"informal","sg","pl",0
12,291,"informal","sg","pl",0
12,355,"informal","sg","pl",0
12,419,"informal","sg","pl",0
12,483,"informal","sg","pl",0
12,236,"informal","sg","sg",1
12,300,"informal","sg","sg",1
12,364,"informal","sg","sg",1
12,428,"informal","sg","sg",1
12,492,"informal","sg","sg",1
13,237,"formal","pl","pl",1
13,301,"formal","pl","pl",1
13,365,"formal","pl","pl",1
13,429,"formal","pl","pl",1
13,493,"formal","pl","pl",1
13,182,"formal","pl","sg",1
13,246,"formal","pl","sg",1
13,310,"formal","pl","sg",1
13,374,"formal","pl","sg",1
13,438,"formal","pl","sg",1
13,191,"formal","sg","pl",1
13,255,"formal","sg","pl",1
13,319,"formal","sg","pl",1
13,383,"formal","sg","pl",1
13,447,"formal","sg","pl",1
13,200,"formal","sg","sg",1
13,264,"formal","sg","sg",1
13,328,"formal","sg","sg",1
13,392,"formal","sg","sg",1
13,456,"formal","sg","sg",1
13,209,"informal","pl","pl",1
13,273,"informal","pl","pl",1
13,337,"informal","pl","pl",1
13,401,"informal","pl","pl",1
13,465,"informal","pl","pl",1
13,218,"informal","pl","sg",1
13,282,"informal","pl","sg",1
13,346,"informal","pl","sg",1
13,410,"informal","pl","sg",1
13,474,"informal","pl","sg",1
13,227,"informal","sg","pl",1
13,291,"informal","sg","pl",1
13,355,"informal","sg","pl",1
13,419,"informal","sg","pl",1
13,483,"informal","sg","pl",1
13,236,"informal","sg","sg",1
13,300,"informal","sg","sg",1
13,364,"informal","sg","sg",1
13,428,"informal","sg","sg",1
13,492,"informal","sg","sg",1
14,237,"formal","pl","pl",0
14,301,"formal","pl","pl",0
14,365,"formal","pl","pl",0
14,429,"formal","pl","pl",0
14,493,"formal","pl","pl",0
14,182,"formal","pl","sg",1
14,246,"formal","pl","sg",1
14,310,"formal","pl","sg",1
14,374,"formal","pl","sg",1
14,438,"formal","pl","sg",1
14,191,"formal","sg","pl",0
14,255,"formal","sg","pl",0
14,319,"formal","sg","pl",0
14,383,"formal","sg","pl",0
14,447,"formal","sg","pl",0
14,200,"formal","sg","sg",1
14,264,"formal","sg","sg",1
14,328,"formal","sg","sg",1
14,392,"formal","sg","sg",1
14,456,"formal","sg","sg",1
14,209,"informal","pl","pl",0
14,273,"informal","pl","pl",0
14,337,"informal","pl","pl",0
14,401,"informal","pl","pl",0
14,465,"informal","pl","pl",0
14,218,"informal","pl","sg",1
14,282,"informal","pl","sg",1
14,346,"informal","pl","sg",1
14,410,"informal","pl","sg",1
14,474,"informal","pl","sg",1
14,227,"informal","sg","pl",0
14,291,"informal","sg","pl",0
14,355,"informal","sg","pl",0
14,419,"informal","sg","pl",0
14,483,"informal","sg","pl",0
14,236,"informal","sg","sg",1
14,300,"informal","sg","sg",1
14,364,"informal","sg","sg",1
14,428,"informal","sg","sg",1
14,492,"informal","sg","sg",1
15,213,"formal","pl","pl",1
15,277,"formal","pl","pl",1
15,341,"formal","pl","pl",0
15,405,"formal","pl","pl",0
15,469,"formal","pl","pl",0
15,222,"formal","pl","sg",1
15,286,"formal","pl","sg",1
15,350,"formal","pl","sg",1
15,414,"formal","pl","sg",1
15,478,"formal","pl","sg",1
15,231,"formal","sg","pl",0
15,295,"formal","sg","pl",1
15,359,"formal","sg","pl",0
15,423,"formal","sg","pl",0
15,487,"formal","sg","pl",0
15,240,"formal","sg","sg",1
15,304,"formal","sg","sg",1
15,368,"formal","sg","sg",1
15,432,"formal","sg","sg",1
15,496,"formal","sg","sg",1
15,185,"informal","pl","pl",0
15,249,"informal","pl","pl",0
15,313,"informal","pl","pl",0
15,377,"informal","pl","pl",1
15,441,"informal","pl","pl",0
15,194,"informal","pl","sg",1
15,258,"informal","pl","sg",1
15,322,"informal","pl","sg",1
15,386,"informal","pl","sg",1
15,450,"informal","pl","sg",1
15,203,"informal","sg","pl",0
15,267,"informal","sg","pl",1
15,331,"informal","sg","pl",0
15,395,"informal","sg","pl",0
15,459,"informal","sg","pl",0
15,212,"informal","sg","sg",1
15,276,"informal","sg","sg",1
15,340,"informal","sg","sg",1
15,404,"informal","sg","sg",1
15,468,"informal","sg","sg",1
16,213,"formal","pl","pl",0
16,277,"formal","pl","pl",1
16,341,"formal","pl","pl",1
16,405,"formal","pl","pl",1
16,469,"formal","pl","pl",1
16,222,"formal","pl","sg",1
16,286,"formal","pl","sg",1
16,350,"formal","pl","sg",1
16,414,"formal","pl","sg",1
16,478,"formal","pl","sg",0
16,231,"formal","sg","pl",0
16,295,"formal","sg","pl",0
16,359,"formal","sg","pl",1
16,423,"formal","sg","pl",1
16,487,"formal","sg","pl",0
16,240,"formal","sg","sg",1
16,304,"formal","sg","sg",1
16,368,"formal","sg","sg",1
16,432,"formal","sg","sg",0
16,496,"formal","sg","sg",1
16,185,"informal","pl","pl",0
16,249,"informal","pl","pl",1
16,313,"informal","pl","pl",0
16,377,"informal","pl","pl",0
16,441,"informal","pl","pl",0
16,194,"informal","pl","sg",1
16,258,"informal","pl","sg",0
16,322,"informal","pl","sg",1
16,386,"informal","pl","sg",1
16,450,"informal","pl","sg",0
16,203,"informal","sg","pl",1
16,267,"informal","sg","pl",0
16,331,"informal","sg","pl",0
16,395,"informal","sg","pl",0
16,459,"informal","sg","pl",0
16,212,"informal","sg","sg",1
16,276,"informal","sg","sg",1
16,340,"informal","sg","sg",1
16,404,"informal","sg","sg",1
16,468,"informal","sg","sg",1
17,197,"formal","pl","pl",0
17,261,"formal","pl","pl",0
17,325,"formal","pl","pl",0
17,389,"formal","pl","pl",0
17,453,"formal","pl","pl",1
17,206,"formal","pl","sg",1
17,270,"formal","pl","sg",1
17,334,"formal","pl","sg",1
17,398,"formal","pl","sg",1
17,462,"formal","pl","sg",1
17,215,"formal","sg","pl",0
17,279,"formal","sg","pl",0
17,343,"formal","sg","pl",1
17,407,"formal","sg","pl",0
17,471,"formal","sg","pl",0
17,224,"formal","sg","sg",0
17,288,"formal","sg","sg",1
17,352,"formal","sg","sg",1
17,416,"formal","sg","sg",1
17,480,"formal","sg","sg",1
17,233,"informal","pl","pl",0
17,297,"informal","pl","pl",0
17,361,"informal","pl","pl",0
17,425,"informal","pl","pl",0
17,489,"informal","pl","pl",0
17,242,"informal","pl","sg",1
17,306,"informal","pl","sg",1
17,370,"informal","pl","sg",1
17,434,"informal","pl","sg",1
17,498,"informal","pl","sg",1
17,187,"informal","sg","pl",0
17,251,"informal","sg","pl",0
17,315,"informal","sg","pl",0
17,379,"informal","sg","pl",1
17,443,"informal","sg","pl",0
17,196,"informal","sg","sg",1
17,260,"informal","sg","sg",1
17,324,"informal","sg","sg",1
17,388,"informal","sg","sg",1
17,452,"informal","sg","sg",1
18,181,"formal","pl","pl",0
18,245,"formal","pl","pl",1
18,309,"formal","pl","pl",1
18,373,"formal","pl","pl",1
18,437,"formal","pl","pl",1
18,254,"formal","pl","sg",1
18,318,"formal","pl","sg",0
18,382,"formal","pl","sg",0
18,446,"formal","pl","sg",0
18,199,"formal","sg","pl",1
18,263,"formal","sg","pl",0
18,327,"formal","sg","pl",1
18,391,"formal","sg","pl",0
18,455,"formal","sg","pl",1
18,208,"formal","sg","sg",1
18,272,"formal","sg","sg",1
18,336,"formal","sg","sg",0
18,400,"formal","sg","sg",0
18,464,"formal","sg","sg",1
18,217,"informal","pl","pl",0
18,281,"informal","pl","pl",0
18,345,"informal","pl","pl",0
18,409,"informal","pl","pl",0
18,473,"informal","pl","pl",0
18,226,"informal","pl","sg",0
18,290,"informal","pl","sg",0
18,354,"informal","pl","sg",1
18,418,"informal","pl","sg",1
18,482,"informal","pl","sg",0
18,235,"informal","sg","pl",0
18,299,"informal","sg","pl",0
18,363,"informal","sg","pl",0
18,427,"informal","sg","pl",1
18,491,"informal","sg","pl",1
18,244,"informal","sg","sg",0
18,308,"informal","sg","sg",0
18,372,"informal","sg","sg",0
18,436,"informal","sg","sg",0
18,500,"informal","sg","sg",1
19,189,"formal","pl","pl",1
19,253,"formal","pl","pl",1
19,317,"formal","pl","pl",1
19,381,"formal","pl","pl",1
19,445,"formal","pl","pl",1
19,198,"formal","pl","sg",1
19,262,"formal","pl","sg",1
19,326,"formal","pl","sg",1
19,390,"formal","pl","sg",1
19,454,"formal","pl","sg",1
19,207,"formal","sg","pl",1
19,271,"formal","sg","pl",1
19,335,"formal","sg","pl",1
19,399,"formal","sg","pl",1
19,463,"formal","sg","pl",1
19,216,"formal","sg","sg",1
19,280,"formal","sg","sg",1
19,344,"formal","sg","sg",1
19,408,"formal","sg","sg",1
19,472,"formal","sg","sg",1
19,225,"informal","pl","pl",1
19,289,"informal","pl","pl",1
19,353,"informal","pl","pl",1
19,417,"informal","pl","pl",1
19,481,"informal","pl","pl",0
19,234,"informal","pl","sg",1
19,298,"informal","pl","sg",1
19,362,"informal","pl","sg",1
19,426,"informal","pl","sg",1
19,490,"informal","pl","sg",1
19,243,"informal","sg","pl",0
19,307,"informal","sg","pl",1
19,371,"informal","sg","pl",1
19,435,"informal","sg","pl",1
19,499,"informal","sg","pl",0
19,188,"informal","sg","sg",1
19,252,"informal","sg","sg",1
19,316,"informal","sg","sg",1
19,380,"informal","sg","sg",1
19,444,"informal","sg","sg",1
20,237,"formal","pl","pl",1
20,301,"formal","pl","pl",0
20,365,"formal","pl","pl",0
20,429,"formal","pl","pl",1
20,493,"formal","pl","pl",1
20,182,"formal","pl","sg",1
20,246,"formal","pl","sg",0
20,310,"formal","pl","sg",1
20,374,"formal","pl","sg",1
20,438,"formal","pl","sg",0
20,191,"formal","sg","pl",0
20,255,"formal","sg","pl",1
20,319,"formal","sg","pl",0
20,383,"formal","sg","pl",0
20,447,"formal","sg","pl",0
20,200,"formal","sg","sg",1
20,264,"formal","sg","sg",0
20,328,"formal","sg","sg",0
20,392,"formal","sg","sg",0
20,456,"formal","sg","sg",0
20,209,"informal","pl","pl",0
20,273,"informal","pl","pl",0
20,337,"informal","pl","pl",0
20,401,"informal","pl","pl",0
20,218,"informal","pl","sg",0
20,282,"informal","pl","sg",0
20,346,"informal","pl","sg",0
20,410,"informal","pl","sg",0
20,474,"informal","pl","sg",0
20,227,"informal","sg","pl",0
20,291,"informal","sg","pl",0
20,355,"informal","sg","pl",1
20,419,"informal","sg","pl",0
20,483,"informal","sg","pl",0
20,236,"informal","sg","sg",0
20,300,"informal","sg","sg",1
20,364,"informal","sg","sg",0
20,428,"informal","sg","sg",1
20,492,"informal","sg","sg",0
21,221,"formal","pl","pl",0
21,285,"formal","pl","pl",0
21,349,"formal","pl","pl",0
21,413,"formal","pl","pl",1
21,477,"formal","pl","pl",1
21,230,"formal","pl","sg",1
21,294,"formal","pl","sg",1
21,358,"formal","pl","sg",1
21,422,"formal","pl","sg",1
21,486,"formal","pl","sg",1
21,239,"formal","sg","pl",0
21,303,"formal","sg","pl",0
21,367,"formal","sg","pl",1
21,431,"formal","sg","pl",0
21,495,"formal","sg","pl",0
21,184,"formal","sg","sg",1
21,248,"formal","sg","sg",1
21,312,"formal","sg","sg",1
21,376,"formal","sg","sg",0
21,440,"formal","sg","sg",1
21,193,"informal","pl","pl",0
21,257,"informal","pl","pl",0
21,321,"informal","pl","pl",0
21,385,"informal","pl","pl",0
21,449,"informal","pl","pl",0
21,202,"informal","pl","sg",1
21,266,"informal","pl","sg",1
21,330,"informal","pl","sg",1
21,394,"informal","pl","sg",1
21,458,"informal","pl","sg",1
21,211,"informal","sg","pl",0
21,275,"informal","sg","pl",0
21,339,"informal","sg","pl",0
21,403,"informal","sg","pl",0
21,467,"informal","sg","pl",0
21,220,"informal","sg","sg",0
21,284,"informal","sg","sg",1
21,348,"informal","sg","sg",1
21,412,"informal","sg","sg",1
21,476,"informal","sg","sg",1
22,205,"formal","pl","pl",1
22,269,"formal","pl","pl",1
22,333,"formal","pl","pl",1
22,397,"formal","pl","pl",1
22,461,"formal","pl","pl",1
22,214,"formal","pl","sg",1
22,278,"formal","pl","sg",1
22,342,"formal","pl","sg",1
22,406,"formal","pl","sg",0
22,470,"formal","pl","sg",1
22,223,"formal","sg","pl",1
22,287,"formal","sg","pl",1
22,351,"formal","sg","pl",0
22,415,"formal","sg","pl",1
22,479,"formal","sg","pl",1
22,232,"formal","sg","sg",1
22,296,"formal","sg","sg",1
22,360,"formal","sg","sg",1
22,424,"formal","sg","sg",1
22,488,"formal","sg","sg",0
22,241,"informal","pl","pl",1
22,305,"informal","pl","pl",0
22,369,"informal","pl","pl",0
22,433,"informal","pl","pl",0
22,497,"informal","pl","pl",0
22,186,"informal","pl","sg",1
22,250,"informal","pl","sg",0
22,314,"informal","pl","sg",1
22,378,"informal","pl","sg",1
22,442,"informal","pl","sg",0
22,195,"informal","sg","pl",0
22,259,"informal","sg","pl",0
22,323,"informal","sg","pl",0
22,387,"informal","sg","pl",0
22,451,"informal","sg","pl",0
22,204,"informal","sg","sg",1
22,268,"informal","sg","sg",1
